63787,64066,64273,64349,64451,64634
317699,320210,322259,323467,325928,328551
441,441,441,441,441,441
118,118,118,118,121,121
1393,1399,1402,1402,1404,1405
384755,384784,384793,384804,384815,384832
59,60,61,61,61,63
1426,1427,1427,1427,1428,1428
34161,34207,34263,34277,34314,34346
1810,1812,1812,1812,1812,1813
263173,263276,263384,263426,263497,263575
3156,3165,3165,3173,3185,3189
228146,229946,231211,231930,232999,234419
4752,4793,4797,4796,4798,4804
322,322,324,323,323,324
273,273,273,275,275,275
2039,2039,2040,2040,2040,2040
57,57,57,57,57,57
124377,128210,133405,137918,143543,147991
23360,23434,23477,23504,23567,23616
927,928,928,928,928,928
33,33,33,33,33,33
1917,1917,1918,1921,1921,1921
591641,592427,593142,593415,594000,594599
990,990,990,990,990,990
22,22,22,22,22,22
11755,11761,11763,11767,11768,11773
1034,1035,1035,1037,1039,1040
163,164,164,164,164,164
18686,18688,18697,18697,18699,18701
38255,38282,38323,38346,38384,38420
89800,89918,90014,90056,90140,90226
56,58,59,60,60,60
565,572,574,574,575,583
58194,58365,58485,58529,58649,58759
104403,104790,105096,105255,105601,105983
797,797,799,799,802,804
108,108,108,108,108,108
255604,256353,257086,257458,258071,258721
249,249,249,249,249,249
658,658,658,658,658,658
35,35,35,35,35,35
26459,27627,28397,28943,29655,30443
85,85,86,86,86,86
487,489,493,495,495,495
54936,56501,57433,58069,58849,59766
1798,1811,1815,1817,1819,1820
1461715,1464185,1466324,1467675,1469639,1472073
345217,392552,427041,441675,461933,483593
155,155,155,156,156,156
34228,35088,35682,35977,36466,36946
75,75,75,75,75,75
123719,123881,124023,124094,124181,124318
32,32,32,32,32,32
103615,103834,104034,104104,104230,104374
35142,35204,35268,35294,35324,35331
104481,104567,104650,104692,104751,104839
58334,58404,58450,58473,58513,58577
50293,51167,51871,52339,53002,53703
350485,350560,350626,350662,350704,350723
292553,314827,327753,332885,335482,337338
29766,29803,29834,29858,29903,29955
32388,32947,33432,33697,34082,34568
0,0,0,0,0,0
2615,2615,2615,2615,2615,2615
2562672,2566567,2570334,2573002,2577385,2582361
0,0,0,0,0,0
721,758,803,823,871,907
133,134,138,138,141,141
652,657,660,665,669,672
640681,641001,641298,641453,641651,641915
207,208,208,208,208,208
103,103,103,103,105,105
92480,92879,93206,93344,93656,94530
1173,1173,1173,1173,1173,1173
342740,343039,343351,343482,343704,343981
31550,31581,31612,31622,31636,31655
1805,1806,1806,1806,1806,1807
51,52,52,52,52,52
83,83,83,83,83,83
274573,274904,275231,275384,275624,275915
3378622,3459785,3526781,3548335,3583168,3622858
14998,14999,14999,15000,15000,15000
139,139,139,139,139,141
6876,7075,7216,7289,7423,7541
633710,634342,634874,635182,635584,636086
109817,110097,110270,110394,110591,110817
4585,4585,4586,4588,4589,4589
4089345,4091329,4093196,4094432,4096174,4098024
2502,2502,2502,2503,2506,2509
9,9,9,9,9,9
1129,1136,1145,1145,1149,1155
32563,32589,32598,32611,32621,32631
293,296,300,300,300,302
993,994,994,994,994,994
680184,680597,681004,681213,681478,681784
12,12,13,13,13,13
42418,43327,44044,44344,44962,45468
119360,119680,119965,120158,120393,120668
57934,58162,58342,58436,58570,58732
1383,1474,1536,1574,1638,1649
38,38,38,38,38,38
215,215,215,215,215,215
90,90,90,90,90,90
22501,22501,22501,22501,22501,22502
322254,322623,322956,323091,323314,323538
300,321,336,340,355,384
0,0,0,0,0,0
257824,258499,258939,259333,260031,260830
8631,8637,8644,8644,8645,8650
24,24,24,24,24,24
24,24,24,24,24,24
7647055,7651981,7657212,7659124,7662372,7666247
917,917,920,920,922,924
176960,177393,177746,177911,178207,178598
34982,35084,35167,35203,35257,35320
149,149,149,149,149,149
51,51,52,52,52,52
5949,6216,6273,6283,6301,6318
29849,29877,29906,29921,29947,29984
24213,26659,28327,29581,31094,32895
7424,7787,8024,8106,8257,8431
38,38,38,38,38,38
57,57,57,57,57,57
398,398,398,398,398,398
65913,65974,66033,66062,66097,66147
2209987,2214767,2219399,2222282,2226225,2230546
3100,3100,3100,3101,3101,3101
72719,72834,72958,73017,73092,73184
53857,54001,54095,54159,54245,54349
88,88,88,88,88,88
174,174,175,175,175,175
166728,167337,167868,168135,168462,168837
19216440,19231694,19241917,19248847,19256131,19269285
5100,5101,5103,5105,5105,5105
1706,1708,1708,1708,1708,1708
2169267,2191049,2212151,2217047,2224113,2230084
2016,2017,2018,2020,2020,2021
490,509,520,527,538,549
189709,189999,190287,190404,190635,190911
348689,348731,348759,348776,348792,348830
476,476,476,476,476,476
